res,ref,cmp,note
воздействует ли она нас ему?,воздействует ли она нас ему?,TRUE,
не воздействовало ли оно её им?,не воздействовало ли оно её им?,TRUE,
не воздействовали ли мы на них?,не воздействовали ли мы на них?,TRUE,
мы не воздействовали бы тебя собой.,мы не воздействовали бы тебя собой.,TRUE,
не воздействовало ли бы оно меня тобой?,не воздействовало ли бы оно меня тобой?,TRUE,
не воздействовал ли я их нами?,не воздействовал ли я их нами?,TRUE,
ты не воздействовал нас ими.,ты не воздействовал нас ими.,TRUE,
не воздействует ли оно их ими?,не воздействует ли оно их ими?,TRUE,
оно не воздействует меня ему.,оно не воздействует меня ему.,TRUE,
будут ли они воздействовать нас ими?,будут ли они воздействовать нас ими?,TRUE,
будут ли они воздействовать его вами?,будут ли они воздействовать его вами?,TRUE,
не воздействовало ли я на них?,не воздействовало ли я на них?,TRUE,
не воздействовал ли я себя нами?,не воздействовал ли я себя нами?,TRUE,
не буду ли я воздействовать тебя ими?,не буду ли я воздействовать тебя ими?,TRUE,
воздействовало ли бы оно тебя ей?,воздействовало ли бы оно тебя ей?,TRUE,
они воздействуют себя нами.,они воздействуют себя нами.,TRUE,
мы не воздействовали бы меня ей.,мы не воздействовали бы меня ей.,TRUE,
не воздействую ли я их им?,не воздействую ли я их им?,TRUE,
мы вставили бы себя.,мы вставили бы себя.,TRUE,
вставил ли бы я тебя в них?,вставил ли бы я тебя в них?,TRUE,
не вставь его в вас!,не вставь его в вас!,TRUE,
не вставило ли я себя в него?,не вставило ли я себя в него?,TRUE,
они не вставили бы её.,они не вставили бы её.,TRUE,
ты не вставило бы его.,ты не вставило бы его.,TRUE,
они не вставят себя.,они не вставят себя.,TRUE,
он вставит нас в него.,он вставит нас в него.,TRUE,
не вставило ли ты себя в него?,не вставило ли ты себя в него?,TRUE,
не вставили ли бы вы его?,не вставили ли бы вы его?,TRUE,
она не вставила её в него.,она не вставила её в него.,TRUE,
вставила ли она его в них?,вставила ли она его в них?,TRUE,
ты вставило его в меня.,ты вставило его в меня.,TRUE,
не вставила ли бы она меня в вас?,не вставила ли бы она меня в вас?,TRUE,
вставила ли бы она тебя?,вставила ли бы она тебя?,TRUE,
вы вставите нас в тебя.,вы вставите нас в тебя.,TRUE,
не вставили ли бы вы его в меня?,не вставили ли бы вы его в меня?,TRUE,
не вставьте её в него!,не вставьте её в него!,TRUE,
не вставили ли они их в него?,не вставили ли они их в него?,TRUE,
не вставьте вас в меня!,не вставьте вас в меня!,TRUE,
не вставили ли бы мы их в меня?,не вставили ли бы мы их в меня?,TRUE,
я не выкладываю его.,я не выкладываю его.,TRUE,
выкладывал ли бы ты нас?,выкладывал ли бы ты нас?,TRUE,
оно выкладывает его.,оно выкладывает его.,TRUE,
не выкладывали ли бы они вас?,не выкладывали ли бы они вас?,TRUE,
вы не будете выкладывать их.,вы не будете выкладывать их.,TRUE,
не выкладывала ли бы она вас?,не выкладывала ли бы она вас?,TRUE,
оно будет выкладывать его.,оно будет выкладывать его.,TRUE,
не выкладывали ли бы вы тебя?,не выкладывали ли бы вы тебя?,TRUE,
выкладывала ли бы ты себя?,выкладывала ли бы ты себя?,TRUE,
она не выкладывала меня.,она не выкладывала меня.,TRUE,
оно не выкладывало тебя.,оно не выкладывало тебя.,TRUE,
ты не выкладываешь нас.,ты не выкладываешь нас.,TRUE,
мы не выкладывали его.,мы не выкладывали его.,TRUE,
выкладывали ли мы меня?,выкладывали ли мы меня?,TRUE,
ты не будешь выкладывать нас.,ты не будешь выкладывать нас.,TRUE,
выкладывает ли оно себя?,выкладывает ли оно себя?,TRUE,
ты выкладывала себя.,ты выкладывала себя.,TRUE,
вы не выкладывали бы тебя.,вы не выкладывали бы тебя.,TRUE,
ты выводило его с него к нему.,ты выводило его с него к нему.,TRUE,
я выводила бы его с тебя к ним.,я выводила бы его с тебя к ним.,TRUE,
я вывожу её из тебя в себя.,я вывожу её из тебя в себя.,TRUE,
мы выводим её из тебя к себе.,мы выводим её из тебя к себе.,TRUE,
выводишь ли ты их с него в вас?,выводишь ли ты их с него в вас?,TRUE,
не выводило ли бы ты его из него в меня?,не выводило ли бы ты его из него в меня?,TRUE,
выводила ли бы я себя из них вами?,выводила ли бы я себя из них вами?,TRUE,
не выводило ли ты его с нас собой?,не выводило ли ты его с нас собой?,TRUE,
они не выводили меня с неё вами.,они не выводили меня с неё вами.,TRUE,
выводили ли они меня из вас к ним?,выводили ли они меня из вас к ним?,TRUE,
ты выводила его с них к нему.,ты выводила его с них к нему.,TRUE,
оно не выводило его с вас к ним.,оно не выводило его с вас к ним.,TRUE,
выводила ли бы я его из тебя в него?,выводила ли бы я его из тебя в него?,TRUE,
он выводил бы их из вас к ней.,он выводил бы их из вас к ней.,TRUE,
выводила ли бы я себя из них к нему?,выводила ли бы я себя из них к нему?,TRUE,
он не выводил бы их из себя к тебе.,он не выводил бы их из себя к тебе.,TRUE,
я не вывожу тебя с вас к ним.,я не вывожу тебя с вас к ним.,TRUE,
выводили ли они вас из него к себе?,выводили ли они вас из него к себе?,TRUE,
не будет ли оно взаимодействовать с ним?,не будет ли оно взаимодействовать с ним?,TRUE,
будет ли она взаимодействовать с нами?,будет ли она взаимодействовать с нами?,TRUE,
они не будут взаимодействовать с собой.,они не будут взаимодействовать с собой.,TRUE,
я взаимодействовало бы с ними.,я взаимодействовало бы с ними.,TRUE,
взаимодействовали ли вы с нему?,взаимодействовали ли вы с нему?,TRUE,
взаимодействуем ли мы с собой?,взаимодействуем ли мы с собой?,TRUE,
не взаимодействовала ли бы она с нами?,не взаимодействовала ли бы она с нами?,TRUE,
не взаимодействуешь ли ты с нами?,не взаимодействуешь ли ты с нами?,TRUE,
мы будем взаимодействовать.,мы будем взаимодействовать.,TRUE,
не взаимодействовала ли она с тобой?,не взаимодействовала ли она с тобой?,TRUE,
взаимодействовал ли я с ними?,взаимодействовал ли я с ними?,TRUE,
взаимодействовало ли оно с тобой?,взаимодействовало ли оно с тобой?,TRUE,
они не взаимодействовали бы с ними.,они не взаимодействовали бы с ними.,TRUE,
мы взаимодействовали бы с вами.,мы взаимодействовали бы с вами.,TRUE,
не взаимодействовало ли бы ты с ними?,не взаимодействовало ли бы ты с ними?,TRUE,
ты взаимодействовало с собой.,ты взаимодействовало с собой.,TRUE,
я не взаимодействовало с ней.,я не взаимодействовало с ней.,TRUE,
она не будет взаимодействовать с вами.,она не будет взаимодействовать с вами.,TRUE,
не будут ли они взаимодействовать с вами?,не будут ли они взаимодействовать с вами?,TRUE,
ты взаимодействовало с ними.,ты взаимодействовало с ними.,TRUE,
не буду ли я взаимодействовать с ней?,не буду ли я взаимодействовать с ней?,TRUE,
не взаимодействовали ли бы они с нему?,не взаимодействовали ли бы они с нему?,TRUE,
вы загрузили бы его на него.,вы загрузили бы его на него.,TRUE,
не загрузили ли бы они нас на него?,не загрузили ли бы они нас на него?,TRUE,
не загрузили ли бы они его собой?,не загрузили ли бы они его собой?,TRUE,
он загрузил её.,он загрузил её.,TRUE,
они загрузили бы нас на него.,они загрузили бы нас на него.,TRUE,
не загрузило ли я её тобой?,не загрузило ли я её тобой?,TRUE,
не загрузило ли оно их ими?,не загрузило ли оно их ими?,TRUE,
она не загрузила бы его в них.,она не загрузила бы его в них.,TRUE,
загрузили ли мы тебя на него?,загрузили ли мы тебя на него?,TRUE,
загрузила ли ты их на меня?,загрузила ли ты их на меня?,TRUE,
они не загрузили бы их на себя.,они не загрузили бы их на себя.,TRUE,
не загрузило ли ты вас на нас?,не загрузило ли ты вас на нас?,TRUE,
загрузило ли оно тебя на себя?,загрузило ли оно тебя на себя?,TRUE,
не загрузило ли бы оно вас в тебя?,не загрузило ли бы оно вас в тебя?,TRUE,
загрузите себя!,загрузите себя!,TRUE,
он не загрузил её тобой.,он не загрузил её тобой.,TRUE,
не загрузило ли бы оно меня тобой?,не загрузило ли бы оно меня тобой?,TRUE,
не загрузили ли вы себя ей?,не загрузили ли вы себя ей?,TRUE,
вы не загрузите тебя на него.,вы не загрузите тебя на него.,TRUE,
оно загрузило бы меня в него.,оно загрузило бы меня в него.,TRUE,
загрузил ли ты вас им?,загрузил ли ты вас им?,TRUE,
загрузите себя на него!,загрузите себя на него!,TRUE,
не запросит ли она себя с нас за них?,не запросит ли она себя с нас за них?,TRUE,
не запросило ли оно тебя с него за них?,не запросило ли оно тебя с него за них?,TRUE,
не запросило ли ты их за него?,не запросило ли ты их за него?,TRUE,
ты запросило бы себя с вас за нас.,ты запросило бы себя с вас за нас.,TRUE,
запросили ли они тебя с вас?,запросили ли они тебя с вас?,TRUE,
не запросила ли она вас с него за нас?,не запросила ли она вас с него за нас?,TRUE,
не запросит ли оно тебя от вас?,не запросит ли оно тебя от вас?,TRUE,
не запросило ли я их с себя за неё?,не запросило ли я их с себя за неё?,TRUE,
он запросил бы тебя от нас.,он запросил бы тебя от нас.,TRUE,
я запросил бы вас с него.,я запросил бы вас с него.,TRUE,
я не запросило бы нас с себя за вас.,я не запросило бы нас с себя за вас.,TRUE,
не запросило ли бы оно их за неё?,не запросило ли бы оно их за неё?,TRUE,
ты запросило нас с вас за меня.,ты запросило нас с вас за меня.,TRUE,
запрошу ли я его за них?,запрошу ли я его за них?,TRUE,
не запросила ли ты вас с них за нас?,не запросила ли ты вас с них за нас?,TRUE,
не запросил ли бы ты нас у него?,не запросил ли бы ты нас у него?,TRUE,
не запросил ли я вас с нас за них?,не запросил ли я вас с нас за них?,TRUE,
запросят ли они себя с вас за них?,запросят ли они себя с вас за них?,TRUE,
запросит ли оно его с меня за него?,запросит ли оно его с меня за него?,TRUE,
запрошу ли я его с них за нас?,запрошу ли я его с них за нас?,TRUE,
запросила ли я тебя от неё?,запросила ли я тебя от неё?,TRUE,
не зарегистрирует ли оно нас в нём?,не зарегистрирует ли оно нас в нём?,TRUE,
оно не зарегистрировало меня на нас.,оно не зарегистрировало меня на нас.,TRUE,
не зарегистрировали ли они вас на себя?,не зарегистрировали ли они вас на себя?,TRUE,
вы зарегистрировали бы тебя в нём.,вы зарегистрировали бы тебя в нём.,TRUE,
зарегистрирует ли оно её в нём?,зарегистрирует ли оно её в нём?,TRUE,
ты не зарегистрировала меня на них.,ты не зарегистрировала меня на них.,TRUE,
я не зарегистрировала её на вас.,я не зарегистрировала её на вас.,TRUE,
зарегистрировало ли я её на себя?,зарегистрировало ли я её на себя?,TRUE,
мы зарегистрировали бы её в тебе.,мы зарегистрировали бы её в тебе.,TRUE,
зарегистрирует ли он его?,зарегистрирует ли он его?,TRUE,
они не зарегистрируют вас на них.,они не зарегистрируют вас на них.,TRUE,
она не зарегистрирует нас в нём.,она не зарегистрирует нас в нём.,TRUE,
ты зарегистрировало её.,ты зарегистрировало её.,TRUE,
не зарегистрируй их на них!,не зарегистрируй их на них!,TRUE,
не зарегистрируем ли мы их во мне?,не зарегистрируем ли мы их во мне?,TRUE,
вы не зарегистрировали его на себя.,вы не зарегистрировали его на себя.,TRUE,
я не зарегистрировало бы его на нас.,я не зарегистрировало бы его на нас.,TRUE,
вы зарегистрировали нас на себя.,вы зарегистрировали нас на себя.,TRUE,
ты не зарегистрируешь его на ней.,ты не зарегистрируешь его на ней.,TRUE,
не зарегистрирует ли она себя в нас?,не зарегистрирует ли она себя в нас?,TRUE,
зарегистрировала ли бы ты меня на себе?,зарегистрировала ли бы ты меня на себе?,TRUE,
я зарегистрирую её на вас.,я зарегистрирую её на вас.,TRUE,
